# Astrion Assistant — how people actually ask for things.
#
# phrase<TAB>the intent it should route to
#
# Generated by a language model asked to paraphrase each request the way a real
# person types it: casual, terse, polite, indirect. That is the ONE job a big
# model is genuinely good at here, and it is also the job that needs checking —
# so nothing in this file is trusted. tools/intent_probe.c runs every line
# through the real am_classify/am_action_of and reports which ones Astrion
# drops or misroutes. Those are the gaps.
#
# Lines are deliberately NOT all achievable. A corpus that only contains
# phrasings the matcher already handles measures nothing.

# ── memory ──
how much memory	memory
how much memory do i have	memory
how much ram	memory
how much ram is there	memory
whats my memory	memory
memory	memory
show me the memory	memory
how much ram does this have	memory
how much memory is free	memory
ram usage	memory
how much memory is left	memory
tell me about the memory	memory

# ── disk ──
how much disk space	disk
how much space is left	disk
how much storage	disk
disk space	disk
how full is the disk	disk
how much room is left	disk
whats my disk usage	disk

# ── cpu ──
what cpu	cpu
what cpu is this	cpu
what processor	cpu
which cpu do i have	cpu
tell me about the cpu	cpu
what chip is this	cpu

# ── running tasks ──
whats running	tasks
what is running	tasks
what's running right now	tasks
show me the tasks	tasks
list the processes	tasks
what processes are there	tasks
whats going on	tasks

# ── uptime ──
uptime	uptime
how long have you been running	uptime
how long has this been on	uptime
how long since boot	uptime

# ── version ──
what version	version
what version is this	version
which version	version
version	version
what build is this	version
tell me the version	version

# ── identity ──
who are you	identity
what are you	identity
who am i talking to	identity
introduce yourself	identity
tell me about yourself	identity
whats your name	identity
what should i call you	identity

# ── help ──
help	help
what can you do	help
what do you do	help
how do i use this	help
what are my options	help
show me what you can do	help

# ── apps ──
what apps do i have	apps
what apps are there	apps
list the apps	apps
what programs do i have	apps
what can i run	apps
show me the apps	apps

# ── date and time ──
what time is it	date
whats the date	date
what day is it	date
tell me the time	date
what is todays date	date

# ── screen ──
what resolution is the screen	screen
what resolution	screen
how big is the screen	screen
screen size	screen
what is the display resolution	screen

# ── list files ──
list my files	files.list
show me the files	files.list
what files do i have	files.list
list files	files.list
show my files	files.list
gimme my files	files.list
whats on here	files.list
what have i got saved	files.list
show me whats saved	files.list
list everything	files.list
whats in here	files.list
show the directory	files.list

# ── count files ──
how many files do i have	files.count
how many files	files.count
count my files	files.count
